folio,depto,area,nro,s09a_01a,s09a_01b,s09a_01c,s09a_01d,s09a_01e,s09a_01f,s09a_01g,s09a_01h,s09a_01i,s09a_01j,s09a_01k,s09a_01l,s09a_01le,s09a_02,s09a_03_1,s09a_03_2,s09a_03_3,s09a_03_4,s09a_03_5,s09a_03_5e,s09a_04,s09a_04e,s09a_05_1,s09a_05_2,s09a_05_3,s09a_05_4,s09a_05_5,s09a_05_6,s09a_05_7,s09a_05_8,s09a_05_8e,s09b_01,s09b_02a,s09b_02b,s09b_02e,s09b_03,s09b_04,upm_x,estrato_x,ponderador,suf_disc,n_motivos,victima,inseguridad,denuncia,material_paredes_noble,piso_noble,agua_red,saneamiento,electricidad,basura_recogida,combustible_limpio,internet,vivienda_propia,n_cuartos,n_dormitorios,hacinamiento,totper,sexo,edad,anios_educ,indigena,lengua_grupo,alfabetizado,ocupado,desocupado,log_ylab,log_yhogpc,pobre,pobre_extremo,factor,upm_y,estrato_y
114-002315-A-0061,Chuquisaca,Urbano,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,8.0,,,,3.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,1,1,1,1,1,1,1,1,7.0,6.0,0.86,6.0,Hombre,52.0,17.0,0,Castellano,1,1,0,8.006700845440367,8.26004745954204,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0091,Chuquisaca,Urbano,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,3.0,1.0,4.0,Hombre,18.0,12.0,0,Castellano,1,0,1,,7.7721050972692165,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0081,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,0,0,1,2.0,1.0,0.5,1.0,Mujer,81.0,12.0,0,Castellano,1,1,0,7.108293186420252,7.397087503151694,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0071,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Mujer,75.0,17.0,1,Originaria,1,1,0,,9.11937573660209,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0021,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2.0,1.0,1.5,3.0,Hombre,20.0,12.0,0,Castellano,1,1,0,8.085948630320585,8.107051172379366,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0041,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1.0,0.0,2.0,2.0,Hombre,76.0,6.0,0,Originaria,1,1,0,,6.613607852400551,1,0,209.4280155806477,114-002315-A,114
114-002315-A-0031,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,1,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Hombre,47.0,17.0,0,Castellano,1,1,0,8.517393171418904,8.052933036797567,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0011,Chuquisaca,Urbano,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5.0,4.0,1.2,6.0,Mujer,20.0,10.0,0,Castellano,1,1,0,7.919719760924575,8.29333130354681,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0141,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,3.0,114-002315-A,114,0.7891964440753159,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5.0,4.0,0.8,4.0,Mujer,23.0,17.0,0,Castellano,1,1,0,,7.915165604223776,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0111,Chuquisaca,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Mujer,26.0,17.0,0,Castellano,1,1,0,,7.02619413252906,1,0,209.4280155806477,114-002315-A,114
