folio,nro,depto,area,suf_disc,victima,inseguridad,prob_disc_logit,prob_disc_rf,y_pred_logit,y_pred_rf
114-002315-A-0061,5.0,Chuquisaca,Urbano,0,0,1,0.4467,0.2303,0,0
114-002315-A-0091,4.0,Chuquisaca,Urbano,0,0,0,0.4452,0.3026,0,0
114-002315-A-0081,1.0,Chuquisaca,Urbano,0,0,0,0.6023,0.3933,1,0
114-002315-A-0071,1.0,Chuquisaca,Urbano,0,0,0,0.6803,0.437,1,0
114-002315-A-0021,3.0,Chuquisaca,Urbano,0,0,1,0.4978,0.3541,0,0
114-002315-A-0041,1.0,Chuquisaca,Urbano,0,0,1,0.6486,0.5538,1,1
114-002315-A-0031,3.0,Chuquisaca,Urbano,0,0,1,0.4211,0.1464,0,0
114-002315-A-0011,5.0,Chuquisaca,Urbano,0,0,0,0.5181,0.2723,1,0
114-002315-A-0141,3.0,Chuquisaca,Urbano,0,1,1,0.4493,0.2209,0,0
114-002315-A-0111,2.0,Chuquisaca,Urbano,1,0,1,0.5106,0.3108,1,0
114-002315-A-0131,3.0,Chuquisaca,Urbano,0,0,0,0.4272,0.2343,0,0
114-002315-A-0121,4.0,Chuquisaca,Urbano,0,0,0,0.4759,0.2524,0,0
113-001399-A-0051,1.0,Chuquisaca,Urbano,0,0,0,0.7659,0.5307,1,1
113-001399-A-0061,3.0,Chuquisaca,Urbano,0,0,0,0.5944,0.3054,1,0
113-001399-A-0071,3.0,Chuquisaca,Urbano,0,0,0,0.437,0.2208,0,0
113-001399-A-0081,3.0,Chuquisaca,Urbano,0,0,0,0.4918,0.2487,0,0
113-001399-A-0011,2.0,Chuquisaca,Urbano,0,0,0,0.4857,0.2329,0,0
113-001399-A-0021,1.0,Chuquisaca,Urbano,0,0,1,0.5993,0.4359,1,0
113-001399-A-0041,3.0,Chuquisaca,Urbano,0,0,1,0.5094,0.2783,1,0
113-001399-A-0121,1.0,Chuquisaca,Urbano,1,0,0,0.4784,0.5549,0,1
113-001399-A-0031,1.0,Chuquisaca,Urbano,0,0,0,0.464,0.3246,0,0
113-001399-A-0111,3.0,Chuquisaca,Urbano,1,0,0,0.403,0.4251,0,0
113-001399-A-0101,3.0,Chuquisaca,Urbano,1,1,0,0.5081,0.4415,1,0
113-001399-A-0091,1.0,Chuquisaca,Urbano,0,0,0,0.4422,0.2071,0,0
412-000536-A-0091,3.0,Oruro,Urbano,0,0,1,0.4518,0.2242,0,0
412-000536-A-0101,1.0,Oruro,Urbano,0,0,1,0.4817,0.2183,0,0
412-000536-A-0141,3.0,Oruro,Urbano,0,0,1,0.3449,0.3185,0,0
412-000536-A-0131,3.0,Oruro,Urbano,0,0,1,0.4276,0.2958,0,0
412-000536-A-0151,1.0,Oruro,Urbano,1,1,1,0.5847,0.6302,1,1
